timestamp;steering_angle
377276.98180816666;-2.9
377276.99674177;-2.8
377277.01323249965;-2.8
377277.018727281;-2.8
377277.030039937;-2.8
377277.0466075517;-2.9
377277.06072146836;-2.8
377277.0680517597;-2.8
377277.077769625;-2.8
377277.094394708;-2.8
377277.1051897803;-2.8
377277.115893166;-2.8
377277.12699301;-2.8
377277.14345697867;-2.8
377277.15533461364;-2.8
377277.16092024965;-2.8
377277.1736837497;-2.8
377277.1942114584;-2.8
377277.199659104;-2.8
377277.210575458;-2.8
377277.223371531;-2.8
377277.238575312;-2.8
377277.25600436365;-2.8
377277.261520093;-2.8
377277.272857489;-2.8
377277.28567676997;-2.9
377277.3007988117;-2.9
377277.3116365517;-3.0
377277.3174462803;-3.0
377277.3330930517;-3.1
377277.34772276;-3.1
377277.358774104;-3.1
377277.369937072;-3.2
377277.381283843;-3.2
377277.397740218;-3.3
377277.408520229;-3.4
377277.41834056197;-3.5
377277.430989208;-3.7
377277.44732893736;-3.8
377277.4530392907;-3.9
377277.466775979;-4.0
377277.478497802;-4.1
377277.495279718;-4.1
377277.50071963534;-4.1
377277.51704413467;-4.1
377277.524185583;-4.1
377277.5394453013;-4.1
377277.556587468;-4.1
377277.562153531;-4.1
377277.573585874;-4.1
377277.584859729;-4.1
377277.601266697;-4.1
377277.6121508644;-4.0
377277.623171395;-4.0
377277.634404364;-3.9
377277.65123751;-3.9
377277.66206221766;-3.8
377277.667767906;-3.6
377277.680576718;-3.5
377277.69816920767;-3.4
377277.7117104473;-3.3
377277.71726926;-3.2
377277.728465926;-3.2
377277.74486318737;-3.2
377277.75712409336;-3.3
377277.767992749;-3.3
377277.779413687;-3.3
377277.79583128035;-3.3
377277.80675069767;-3.3
377277.81763511366;-3.3
377277.83024096803;-3.3
377277.8452799677;-3.3
377277.8585205196;-3.2
377277.863873947;-3.3
377277.875269416;-3.2
377277.8920127807;-3.3
377277.900151583;-3.3
377277.91374614503;-3.3
377277.92643045733;-3.3
377277.941511614;-3.3
377277.9553665203;-3.3
377277.96224120766;-3.4
377277.973575041;-3.4
377277.9850027183;-3.5
377278.00125684263;-3.5
377278.012206041;-3.5
377278.017825426;-3.6
377278.0293820927;-3.6
377278.04594512464;-3.7
377278.062461822;-3.7
377278.068335718;-3.8
377278.079732853;-3.9
377278.0963445717;-4.0
377278.1072921344;-4.0
377278.118212697;-4.1
377278.12939202;-4.2
377278.1458644467;-4.2
377278.15761602;-4.3
377278.163048166;-4.3
377278.176315478;-4.4
377278.191577801;-4.5
377278.2050363013;-4.7
377278.2159878537;-4.8
377278.224353218;-4.9
377278.24104102;-5.1
377278.256341697;-5.3
377278.261905145;-5.6
377278.2747291653;-5.8
377278.2858885303;-6.0
377278.300848332;-6.2
377278.311773635;-6.4
377278.322826239;-6.5
377278.33675329067;-6.6
377278.348785447;-6.7
377278.3616058113;-6.7
377278.371568426;-6.8
377278.382925874;-6.8
377278.3966159787;-6.9
377278.4101898324;-7.0
377278.418486259;-7.3
377278.43109772867;-7.6
377278.4544097493;-7.9
377278.4573873743;-8.1
377278.468490509;-8.3
377278.480063218;-8.3
377278.4966752593;-8.3
377278.50757761404;-8.3
377278.5184502487;-8.1
377278.5257249783;-7.9
